gnid,net_name,net_type,center_longitude,center_latitude,point_total,point_code,point_name,point_longitude,point_latitude,address,point_page_no
GC2000000001,基本网,基准网,36.2630,94.5248,65,A034,五台,113.1905**,38.4459**,茹村乡北阳村,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB02,北戴河,119.2719**,39.4938**,河北省秦皇岛市北戴河区北岭路72号,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB03,青岛,120.2506**,36.0317**,山东省青岛市崂山区国家科委青岛培训中心,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB04,溧水,119.0221**,31.3994**,江苏省溧水县地震台,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,C043,长治,113.1017**,36.1397**,老顶山乡,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,D021,兴县,111.0175**,38.2932**,蔡家崖乡旭谷村,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,D067,彬县,108.0519**,35.0330**,城关镇朱家湾村,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,D092,阿左旗,105.4096**,38.4839**,巴彦浩特镇鹿圈山,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB10,双鸭山,131.1065**,46.3986**,黑龙江省双鸭山军分区,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB11,绥化,126.5878**,46.3993**,绥化市北林区秀水嘉园院内,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,E015,延吉,129.2976**,43.0003**,延边地震台,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB13,加格达奇,124.0656**,50.2361**,黑龙江省加格达奇市,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,E023,乌兰浩特,122.1005**,46.0364**,乌兰哈达镇,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,E027,库伦旗,121.4547**,42.4568**,,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB16,大连,121.4429**,39.0585**,辽宁省大连市金州区金州地震台,1
GC2000000001,基本网,基准网,36.2630,94.5248,65,E060,锡林浩特,116.0604**,43.5429**,,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,E065,四子王旗,111.4285**,41.3024**,乌兰花镇地震台,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB20,宜昌,111.1840**,30.4778**,湖北省宜昌市夷陵区森林公园,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB21,桂林,110.1803**,25.1195**,广西桂林市雁山区二塘乡谭南村,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB22,吉安,115.0270**,27.0316**,江西省吉安市青原区河东街道山前村,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,F070,勉县,106.4081**,33.0626**,杨家山乡,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,F071,南充,106.0145**,30.4832**,新建乡父子桥村,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB25,贵阳花溪,106.3903**,26.2575**,贵州省贵阳花溪区花溪乡洛平村,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB26,凭祥,106.4966**,22.0640**,广西凭祥市上石镇燕安村马约屯,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,G029,通渭,105.2296**,35.0811**,碧玉乡碧玉村下店社,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB28,安西,95.4800**,40.3078**,地震台院内,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,G140,高台,99.4892**,39.2459**,合黎乡六四村,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB30,格尔木,94.5298**,36.2566**,青海省格尔木知青路53号,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB31,冷湖,93.2417**,38.4836**,青海省海西州冷湖镇,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB32,索尔库里,90.5890**,38.3548**,青海省海西州茫崖镇,2
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB33,九寨沟,103.5319**,33.1623**,四川省九寨沟县九寨沟镇彭丰村,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB34,马尔康,102.1899**,31.4264**,四川省马尔康县卓克基乡纳足村,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB35,乾宁,101.2920**,30.2938**,四川省道孚县八美镇曲儿村,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB36,马边,103.3108**,28.5023**,四川省马边县水碾坝乡,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB37,盐源,101.3022**,27.2539**,四川省盐源县地震台,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB40,理塘,100.1659**,29.5985**,四川省理塘县高城镇,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB43,哈密,93.3700**,42.4813**,新疆哈密市陶家宫乡兰天造纸厂,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB44,阿勒泰,88.0868**,47.5132**,新疆阿勒泰市园林路14号,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB45,库尔勒,86.1124**,41.4734**,新疆库尔勒市铁门关,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB46,且末,85.3201**,38.0470**,新疆且末县农二师建筑支队子弟学校,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB47,新源,83.1583**,43.2329**,新疆新源县新源镇牧业十村,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB48,喀什,75.5522**,39.3146**,新疆喀什市地震台,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB49,玉树,96.5997**,32.5995**,青海省玉树县结古镇西同村,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB50,然乌,96.5267**,29.2373**,西藏自治区八宿县然乌乡无日德村,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB51,五道梁,93.0359**,35.0598**,青海省曲玛莱县曲玛乡,3
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB52,唐古拉山,91.5944**,32.5925**,西藏自治区安多县多玛乡,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB53,尼玛,87.4527**,31.5376**,西藏自治区双湖办事处南错折乡,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB54,珠峰北,86.5871**,28.2328**,西藏定日县扎西宗乡,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB55,甜水海,79.3434**,35.2713**,新疆维吾尔自治区和田县,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB56,狮泉河,79.4817**,32.2520**,西藏自治区噶尔县,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JBN1,温州,120.4641**,27.5850**,浙江省温州市龙湾区瑶溪镇永胜村,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB24,南充,106.0213**,30.4802**,四川南充顺庆区新建乡父子桥村,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB08,彬县,108.0537**,35.0388**,城关镇朱家湾村,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB09,阿左旗,105.4071**,38.4854**,内蒙古阿拉善左旗巴彦浩特镇鹿圈山,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB27,通渭,105.2262**,35.0806**,碧玉乡碧玉村下店社,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB29,高台,99.4820**,39.2440**,合黎乡六四村,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB23,勉县,106.4096**,33.0644**,陕西省勉县杨家山乡,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB01,五台,113.1920**,38.4422**,山西省五台县茹村乡北阳村,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB05,长治,113.1058**,36.1372**,山西省长治市老顶山乡,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB07,兴县,111.0102**,38.2904**,山西省兴县蔡家崖乡旭谷村,4
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB12,延吉,129.2935**,43.0034**,吉林省延吉市延边地震台,5
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB14,乌兰浩特,122.1094**,46.0329**,内蒙古乌兰浩特市乌兰哈达镇,5
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB15,库伦旗,121.4517**,42.4552**,内蒙古库伦旗,5
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB17,锡林浩特,116.0665**,43.5467**,内蒙古自治区锡林浩特市,5
GC2000000001,基本网,基准网,36.2630,94.5248,65,JB18,四子王旗,111.4289**,41.3007**,内蒙古四子王旗乌兰花镇地震台,5
GC2000000002,区域网,区域网,,,1,D056,成吉思汗陵,109.4756**,39.2157**,内蒙古伊金霍洛旗,1
GC2000000003,8级地震形变网,区域网,35.5292,92.0732,0,,,,,,
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G001,头道湖,105.0784**,38.0267**,内蒙古阿拉善左旗头道湖,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G002,鸣沙洲,105.5392**,37.3247**,宁夏中宁县鸣沙镇鸣沙村14队（原养马村8,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G003,余丁,105.3216**,37.3197**,宁夏中宁县余丁乡黄羊村,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G004,中卫,105.1076**,37.3497**,宁夏中卫市东园镇红武村,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G005,长山头,105.4078**,37.2174**,宁夏中宁县长山头乡,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G006,红泉,105.1392**,37.1438**,宁夏回族自治区中卫市沙坡头区常乐镇红泉村,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G007,同心,105.5251**,36.5810**,宁夏同心县丁塘乡杨河湾村,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G008,兴仁堡,105.1609**,36.5578**,宁夏海原县兴仁堡镇兴仁堡村,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G009,予旺,106.2175**,36.5028**,宁夏同心县予旺镇李家岗子,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G010,李旺堡,106.0633**,36.3777**,宁夏海原县李旺镇红圈子,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G011,干盐池,105.1434**,36.3929**,宁夏自治区海原县盐池乡干盐池,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G012,海原,105.3783**,36.3016**,宁夏自治区海原县海城镇山门村,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G013,寺口子,105.5904**,36.1675**,宁夏固原县黄铎乡须弥山石窟区,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G014,种田,105.1747**,36.3034**,甘肃省白银市平川区种田乡五星村,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G015,红羊,105.3600**,36.1613**,宁夏海原县红羊乡拐沟村,1
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G016,王洼,106.3838**,36.0610**,宁夏彭阳县王洼镇王洼村高建堡队,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G017,固原,106.1376**,36.0102**,宁夏回族自治区固原市清河镇明家庄,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G018,西吉,105.4822**,35.5752**,宁夏西吉县夏寨乡水管站,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G019,河畔,104.5739**,36.0565**,甘肃省会宁县河畔乡中滩村,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G020,六盘山,106.1271**,35.4040**,宁夏隆德县六盘山顶,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G021,会宁,105.0058**,35.4348**,甘肃省会宁县柴家门乡廿里铺村,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G022,隆德,106.0705**,35.3634**,宁夏隆德县城关红旗村,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G023,界石铺,105.3008**,35.3608**,甘肃省会宁县杨集乡罐子峡村,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G024,平凉,106.3412**,35.2779**,甘肃省平凉市麻武乡麻武村张沟石湾组,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G025,泾源,106.2461**,35.2707**,园子乡园子村,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G026,华家岭,105.0156**,35.2426**,甘肃省通渭县华家岭乡老站村,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G027,华亭,106.3138**,35.1438**,甘肃省华亭县马峡乡马峡村,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G028,庄浪,106.0047**,35.1034**,甘肃省庄浪县城南水浴乡郭堡村,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G030,莲花城,105.4713**,35.0440**,甘肃省庄浪县万泉乡徐家城村,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G031,张家川,106.1295**,35.0090**,城北,2
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G032,陇县,106.4940**,34.5309**,陕西省陇县城西晁家坡村,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G033,秦安,105.3981**,34.5200**,甘肃省秦安县西川乡张家坡村,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G034,清水,106.0981**,34.4412**,甘肃省清水县永清镇祝英台塬,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G035,甘谷,105.2287**,34.4782**,甘肃省甘谷县八里湾乡椿树岘村,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G036,吴砦,106.2445**,34.3047**,甘肃省天水市北道区吴砦乡和风村,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G037,天水,105.4128**,34.3552**,甘肃省天水市秦城区玉泉乡盐池村,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G038,宝鸡,107.0850**,34.2560**,陕西省宝鸡市金河乡兴隆村,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G039,娘娘坝,105.4816**,34.1564**,娘娘坝乡大桥村,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G040,额济纳旗,101.0331**,41.5792**,内蒙古额济纳旗,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G041,臭水墩,99.0458**,40.1654**,甘肃省金塔县大庄子乡,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G042,巴音毛道,104.3032**,40.4457**,内蒙古阿拉善左旗乌力吉,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G043,巴彦诺尔公,104.4813**,40.0923**,内蒙古阿拉善左旗巴彦诺尔公,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G044,芦泉,100.0998**,39.4313**,内蒙古阿拉善右旗努日盖苏木,3
GC2000000004,阿尔金-祁连山-阿拉善,区域网,36.1686,105.5975,233,G045,三个井,100.4716**,39.3684**,内蒙古阿拉善右旗努日盖苏木,3
